Step,Average_Reward
600,-6.972666907182462
700,-8.891898180222043
800,-5.422650499525993
900,-2.1500467189381367
1000,-0.9503764972921982
1100,-0.3965854627451241
1200,-0.1806856738524693
1300,-1.1259926618896452
1400,-6.242976050519686
1500,-8.6248077275521
1600,-9.49663515281502
1700,-9.815752186470208
1800,-9.93255934143919
1900,-9.975314537849947
2000,-9.99096432249378
2100,-9.911332440164003
2200,-9.967544805478221
2300,-9.988120349162688
2400,-9.99565166359048
2500,-9.99840836824335
2600,-9.999417411301645
2700,-9.99978675369471
2800,-9.999921944955586
2900,-9.999971429329316
3000,-9.99998954221049
3100,-9.999996172110789
3200,-9.999998598868721
3300,-9.99999948714061
3400,-9.999999812276846
3500,-9.999999931287228
3600,-9.999999974848876
3700,-9.999999990793844
3800,-9.999999996630224
3900,-9.999999998766524
4000,-9.99999999954848
4100,-9.999999999834701
4200,-9.999999999939465
4300,-9.999999999977812
4400,-9.99999999999185
4500,-9.999999999996986
4600,-9.999999999998868
5200,-82.22128569036106
5300,-77.57964194829171
5400,-71.8945700257427
5500,-64.59200581832704
5600,-66.82316714302078
5700,-74.07262120574613
5800,-83.30950847589577
5900,-76.08625812465009
6000,-71.69651812627087
6100,-69.77888073429527
6200,-70.96146997970811
6300,-83.2961257981071
6400,-89.87257837921734
6500,-83.92206483324885
6600,-74.84553606968753
6700,-71.79610675911356
6800,-78.6873461754964
6900,-82.17041203305057
7000,-91.59004604053258
7100,-84.91241233476511
7200,-75.66756770398105
7300,-72.02067604913549
7400,-75.95463866593232
7500,-86.82548544099218
7600,-87.6488758260399
7700,-84.3734941306874
7800,-77.91990457022891
7900,-71.5293523598431
8000,-78.5145408234997
8100,-83.26416082217798
8200,-93.72938914394776
8300,-81.7845774323525
8400,-73.79868416562493
8500,-69.03582759334016
8600,-72.51430338471063
8700,-86.84137766163899
9300,-148.37446193483777
9400,-146.5228426474175
9500,-149.5388609361242
9600,-49.967880372619845
9700,-37.61502907444093
9800,-34.38530061165696
9900,-60.23952885798338
10000,-45.93979412978102
10600,-84.55523766320013
10700,-86.67203197610338
10800,-61.00164864834143
10900,-32.7759844000806
11000,-21.694345377256898
11100,-41.747199064020975
11700,-65.81445858365097
11800,-64.26259559445498
11700,-66.27946714469067
11900,-75.83650688152441
11800,-76.45914116282836
12000,-82.2543511333013
11900,-83.8081466693416
12100,-78.87414941273397
12000,-81.03708480499904
12200,-74.06923583198163
12100,-78.3300520376534
12300,-71.67123208109346
12200,-75.64141363991286
12400,-81.77981873723625
12300,-88.22037206098568
12500,-95.2729872959958
12400,-95.930233740295
