episode,reward,total_env_steps,ep_steps,avg_time_ms,goal_x,goal_y
1,-283.7,4000,4000,3.9014,-3.5181,-3.352
1,85.1,3168,3168,5.0425,-2.5651,-3.4028
2,197.09,5016,1848,4.1377,-2.3535,-2.7566
3,-1356.82,9016,4000,0.6971,-4.2646,-2.0609
4,174.4,9105,89,0.3407,-2.5972,-2.5348
5,143.27,9992,887,0.3559,-4.1797,-3.374
6,185.14,10321,329,0.3514,-3.573,-2.1831
7,1628.12,14321,4000,0.3509,-2.8903,-2.4431
8,-1176.6,18321,4000,0.3528,-3.3915,-3.9319
9,146.9,19676,1355,0.352,-3.1135,-4.3405
10,162.72,19762,86,0.3462,-2.4309,-2.9208
11,712.21,20577,815,0.3629,-2.6048,-3.6137
12,101.62,20578,1,0.4395,-2.0733,-2.2672
13,218.75,20799,221,0.3506,-2.554,-4.0134
14,202.16,23393,2594,0.3517,-3.3332,-4.3905
15,-691.57,27393,4000,0.3506,-4.1143,-2.7924
16,190.71,27515,122,0.3517,-2.6381,-2.0812
17,-600.08,31515,4000,0.3507,-3.6854,-3.5739
18,-107.31,35515,4000,0.3531,-3.3261,-4.0263
19,438.26,37374,1859,0.3507,-4.1752,-3.3107
20,239.5,38102,728,0.3564,-3.9327,-2.8255
21,260.23,38371,269,0.3614,-3.4071,-2.4183
22,448.94,38904,533,0.3483,-2.7493,-3.7191
23,192.13,38993,89,0.3795,-2.4194,-2.4881
24,561.34,39832,839,0.3601,-3.5313,-3.7792
25,280.96,40353,521,0.3537,-2.7938,-4.1506
26,-1161.54,44353,4000,0.3494,-4.0002,-4.4816
27,301.56,44850,497,0.3523,-2.5327,-2.8379
28,280.75,45755,905,0.3546,-2.7371,-2.5482
29,167.61,49755,4000,0.3499,-3.3527,-3.0781
30,-422.4,53755,4000,0.3551,-4.1505,-4.2137
31,68.32,57755,4000,0.3519,-2.829,-3.3223
32,214.14,57955,200,0.3558,-3.0869,-2.5875
33,121.83,61086,3131,0.3494,-2.9132,-3.1161
34,150.89,61358,272,0.3545,-3.102,-3.7401
35,-346.21,65358,4000,0.354,-4.423,-3.4082
36,-840.56,69358,4000,0.3514,-3.9635,-3.4787
37,665.36,70596,1238,0.3495,-2.3665,-3.9152
38,237.23,71756,1160,0.3504,-4.3542,-3.7965
39,213.05,72064,308,0.363,-3.766,-2.8452
40,171.42,73332,1268,0.3483,-3.1074,-2.5403
41,-1189.78,77332,4000,0.3528,-2.8392,-3.484
42,391.44,78162,830,0.3659,-2.4649,-4.0826
43,-366.56,82162,4000,0.3519,-4.4432,-4.2749
44,85.8,86106,3944,0.354,-2.6941,-3.3453
45,247.15,86606,500,0.3596,-4.0968,-3.2474
46,200.67,88807,2201,0.35,-4.1192,-2.7592
47,172.05,89214,407,0.3568,-3.3846,-3.5474
48,313.32,89618,404,0.3406,-3.7462,-2.9243
49,-1190.82,93618,4000,0.3506,-3.5955,-4.2809
50,116.58,94406,788,0.3483,-4.205,-2.0953
51,167.95,94471,65,0.3724,-2.2285,-2.7507
52,-744.96,98471,4000,0.3549,-3.8353,-2.0771
53,206.27,99340,869,0.3508,-2.5531,-2.7078
54,299.42,100254,914,0.3473,-3.3766,-3.8194
55,-1194.11,104254,4000,0.3505,-4.259,-2.2435
56,239.83,104583,329,0.3586,-3.3606,-3.9941
57,171.5,104831,248,0.3578,-3.7351,-3.052
58,285.14,105427,596,0.3586,-4.0581,-2.3585
59,258.48,105669,242,0.3569,-2.6037,-2.7013
60,305.05,106028,359,0.3526,-3.4198,-2.9317
61,374.17,106843,815,0.3472,-3.0398,-2.8754
62,-1194.91,110843,4000,0.3508,-4.2889,-3.4605
63,474.67,111838,995,0.3561,-4.396,-3.265
64,203.47,112131,293,0.3471,-3.6753,-4.1387
65,200.23,112505,374,0.3788,-4.2415,-3.0309
66,198.63,112948,443,0.3475,-4.0735,-2.1872
67,208.0,113139,191,0.368,-3.0473,-3.6328
68,49.9,117139,4000,0.3525,-3.0227,-4.443
69,452.97,117684,545,0.3609,-2.1036,-3.2942
70,268.84,118073,389,0.3541,-2.5432,-4.2932
71,-1113.45,122073,4000,0.3527,-3.2834,-3.2732
72,162.55,122141,68,0.364,-2.1554,-3.0707
73,259.31,122815,674,0.3525,-3.3163,-3.8326
74,287.22,123195,380,0.3557,-3.6711,-3.1983
75,357.22,123698,503,0.3494,-3.4027,-4.446
76,180.01,123778,80,0.3436,-2.4343,-2.2596
77,181.87,124035,257,0.3496,-4.1494,-3.1149
78,149.75,126917,2882,0.3491,-4.2286,-2.8194
79,284.03,130522,3605,0.3532,-3.7969,-2.8514
80,220.22,130968,446,0.35,-2.6825,-2.5784
81,416.99,134606,3638,0.3496,-4.2306,-2.21
82,85.41,138606,4000,0.3561,-3.9245,-4.4065
83,-968.53,142606,4000,0.3484,-3.1129,-3.5727
84,171.59,142671,65,0.3363,-2.4255,-2.4794
85,-900.8,146671,4000,0.3485,-3.7072,-2.1178
86,-1117.45,150671,4000,0.3523,-3.7727,-3.2124
87,223.94,151168,497,0.3542,-3.8601,-2.1599
88,-582.2,155168,4000,0.3492,-4.0885,-4.3877
89,285.07,159168,4000,0.3514,-3.4123,-2.0191
90,171.42,159233,65,0.3574,-2.2708,-2.6285
91,101.48,159234,1,0.4017,-2.273,-2.2664
92,430.57,160151,917,0.3513,-3.2029,-3.7102
93,262.03,160336,185,0.3478,-2.57,-2.8458
94,-1177.86,164336,4000,0.3512,-3.5659,-4.2638
95,-780.86,168336,4000,0.3527,-2.633,-3.8438
96,17.73,172336,4000,0.3478,-2.158,-3.8976
97,736.27,173538,1202,0.3502,-4.1931,-2.4222
98,589.78,177538,4000,0.3509,-4.1168,-4.0518
99,-148.08,181538,4000,0.3509,-3.0015,-2.3136
100,-257.99,185538,4000,0.3509,-4.0089,-3.7242
101,190.03,185633,95,0.355,-2.5565,-2.0704
102,-1144.02,189633,4000,0.3516,-3.2481,-4.1403
103,-253.35,193633,4000,0.3529,-4.4652,-3.9259
104,244.58,194250,617,0.3474,-4.1704,-2.8059
105,206.65,195134,884,0.3478,-4.1954,-3.2342
106,374.15,195916,782,0.3579,-2.7643,-3.0472
107,27.47,199191,3275,0.3524,-4.0006,-2.4897
108,210.57,199349,158,0.341,-2.7115,-2.6525
109,-320.04,203349,4000,0.3495,-4.1724,-4.1906
110,725.27,205361,2012,0.3552,-2.1811,-3.5061
111,408.21,207397,2036,0.3516,-3.7476,-3.2785
112,356.6,207843,446,0.3507,-2.8428,-2.1109
113,195.89,208127,284,0.3583,-3.7839,-2.188
114,-262.53,212127,4000,0.351,-4.4379,-3.112
115,164.5,216127,4000,0.3527,-2.9151,-4.2353
116,111.28,218142,2015,0.3524,-4.1492,-3.4522
117,174.69,218225,83,0.3671,-2.0844,-3.0099
118,174.75,218287,62,0.3702,-2.1674,-2.4891
119,-61.81,222287,4000,0.3529,-3.3315,-2.5381
120,-70.89,226287,4000,0.3511,-4.4554,-4.2271
121,526.25,227186,899,0.3553,-2.4264,-2.508
122,222.29,227884,698,0.3526,-3.9184,-3.1731
123,-471.97,231884,4000,0.3505,-2.985,-2.3307
124,-607.17,235884,4000,0.3542,-2.9922,-3.4686
125,140.86,236390,506,0.3521,-3.5645,-3.4353
126,198.32,236620,230,0.3472,-2.8702,-2.3313
127,-407.38,240620,4000,0.3495,-3.3653,-3.8804
128,155.68,241372,752,0.3525,-3.9083,-2.635
129,144.1,242286,914,0.3525,-2.4586,-4.2368
130,150.55,244757,2471,0.3516,-4.3336,-3.0139
131,-1131.8,248757,4000,0.3532,-4.1346,-2.4383
132,-391.89,252757,4000,0.3508,-3.7242,-4.1403
133,203.46,253722,965,0.3615,-2.1976,-4.0862
134,-205.92,257722,4000,0.3488,-3.7882,-4.116
135,189.24,260088,2366,0.3543,-4.2113,-4.4471
136,226.88,260903,815,0.3466,-4.3615,-4.0634
137,168.04,261808,905,0.3496,-4.3665,-3.0221
138,-1222.42,265808,4000,0.3517,-2.7982,-3.5159
